year,percentile_90,extent
2001,1639.3848,823500000.0
2002,1631.1633,1081750000.0
2003,1619.0292,1102250000.0
2004,1625.143,1282000000.0
2005,1599.2163,1231750000.0
2006,1712.012,458000000.0
2007,1647.0627,865500000.0
2008,1600.9235,1162500000.0
2009,1586.1887,1016000000.0
2010,1617.4117,1193500000.0
2011,1600.5715,1203500000.0
2012,1660.5667,1599000000.0
2013,1604.4703,1289250000.0
2014,1659.7631,812000000.0
2015,1644.63,843250000.0
2016,1633.2798,1261750000.0
2017,1602.5852,1127250000.0
2018,1664.3663,510750000.0
2019,1604.8058,1354750000.0
2020,1642.2611,724750000.0
2021,1606.9944,980500000.0
2022,1670.6776,446000000.0
2023,1608.4769,1275500000.0
2024,1637.1902,579000000.0
2025,1599.6854,1127250000.0
