year,percentile_90,extent
2001,961.9232,825250000.0
2002,1027.7635,952250000.0
2003,971.0724,946250000.0
2004,855.8971,668750000.0
2005,928.9978,800500000.0
2006,866.7003,616750000.0
2007,906.3356,745000000.0
2008,1039.603,1083250000.0
2009,893.2978,729500000.0
2010,956.21436,943250000.0
2011,940.0268,871000000.0
2012,1049.413,1063250000.0
2013,837.73553,618750000.0
2014,961.9044,859250000.0
2015,976.37885,947750000.0
2016,1049.1715,1100250000.0
2017,973.0344,948750000.0
2018,898.11664,588000000.0
2019,997.48724,1043500000.0
2020,987.4395,1018000000.0
2021,970.7776,887750000.0
2022,944.2244,788750000.0
2023,1116.4446,1313750000.0
2024,978.0633,960750000.0
2025,804.8068,509000000.0
