year,percentile_90,extent
2001,1450.4646,1055000000.0
2002,1463.0066,1131750000.0
2003,1501.6506,1171000000.0
2004,1504.6494,1226750000.0
2005,1465.8124,1190250000.0
2006,1466.456,833250000.0
2007,1448.16,997750000.0
2008,1482.4448,1218000000.0
2009,1400.5237,1044750000.0
2010,1477.8116,1151250000.0
2011,1470.2522,1130500000.0
2012,1553.6704,1356000000.0
2013,1492.3217,993750000.0
2014,1464.6036,1060750000.0
2015,1470.8828,1069250000.0
2016,1477.5323,1212000000.0
2017,1492.9419,1219750000.0
2018,1407.8469,566750000.0
2019,1474.2089,1253250000.0
2020,1400.064,999000000.0
2021,1410.8528,1153000000.0
2022,1302.2479,728000000.0
2023,1468.2644,1228750000.0
2024,1264.8086,815750000.0
2025,1417.6053,1023750000.0
