year,percentile_90,extent
2001,1831.2554,1341750000.0
2002,1839.9066,1549750000.0
2003,1849.0155,1636000000.0
2004,1851.38,1798750000.0
2005,1849.3077,1798750000.0
2006,1844.7543,1621250000.0
2007,1862.6423,1775000000.0
2008,1837.506,1571250000.0
2009,1817.1063,1399500000.0
2010,1841.0239,1650250000.0
2011,1848.7178,1776000000.0
2012,1891.9191,1921000000.0
2013,1843.7145,1791250000.0
2014,1828.6796,1485250000.0
2015,1817.3058,1397750000.0
2016,1860.2891,1668750000.0
2017,1816.983,1312750000.0
2018,1859.5193,934750000.0
2019,1870.6617,1707500000.0
2020,1793.754,1380250000.0
2021,1816.983,1570250000.0
2022,1808.8561,1436750000.0
2023,1825.7383,1664000000.0
2024,1768.7582,1403500000.0
2025,1825.0378,1604000000.0
