year,percentile_90,extent
2001,1325.2578,550250000.0
2002,1228.9407,420250000.0
2003,1398.8259,650750000.0
2004,1289.7281,495250000.0
2005,1249.8818,426750000.0
2006,1320.6903,543750000.0
2007,1534.1975,851000000.0
2008,1418.0068,666500000.0
2009,1311.8776,529250000.0
2010,1553.9081,923500000.0
2011,1562.3138,957000000.0
2012,1674.2313,1241250000.0
2013,1328.3153,552250000.0
2014,1415.1469,666250000.0
2015,1175.8933,368750000.0
2016,1548.2698,867000000.0
2017,1332.343,559750000.0
2018,1353.0538,594250000.0
2019,1516.418,819750000.0
2020,1504.7308,768250000.0
2021,1557.8013,796500000.0
2022,1368.3116,604000000.0
2023,1557.406,965750000.0
2024,1272.4111,471250000.0
2025,1431.0215,699250000.0
