year,percentile_90,extent
2001,902.95105,390000000.0
2002,893.87646,438000000.0
2003,905.1464,458000000.0
2004,863.07605,420250000.0
2005,994.55096,522250000.0
2006,978.5333,521250000.0
2007,1034.2938,614250000.0
2008,973.8945,542000000.0
2009,1003.16815,576000000.0
2010,1043.2252,632500000.0
2011,1045.2654,640250000.0
2012,1327.9784,975250000.0
2013,790.01514,299750000.0
2014,987.1568,540750000.0
2015,1130.5741,732000000.0
2016,980.01074,520500000.0
2017,888.22595,384000000.0
2018,815.63904,345250000.0
2019,1035.3215,622500000.0
2020,881.3667,418250000.0
2021,954.78485,487750000.0
2022,954.62866,413250000.0
2023,1037.393,594500000.0
2024,883.21,402000000.0
2025,799.58325,305250000.0
