year,percentile_90,extent
2001,1516.7848,310000000.0
2002,1505.0017,255500000.0
2003,1596.8073,253500000.0
2004,1609.0541,320500000.0
2005,1508.7838,304000000.0
2006,1560.1489,319000000.0
2007,1570.5984,322750000.0
2008,1600.8295,373500000.0
2009,1557.188,254500000.0
2010,1599.2811,317500000.0
2011,1541.7853,298000000.0
2012,1666.6377,458250000.0
2013,1612.6974,234750000.0
2014,1684.7603,274750000.0
2015,1606.743,311250000.0
2016,1675.3016,281000000.0
2017,1636.1484,323750000.0
2018,1582.6223,261250000.0
2019,1644.1548,249000000.0
2020,1686.0264,313000000.0
2021,1603.2488,352250000.0
2022,1629.0905,378500000.0
2023,1710.4962,513750000.0
2024,1560.7577,306250000.0
2025,1606.1205,310500000.0
