year,percentile_90,extent
2001,989.8785,87750000.0
2002,912.7861,56250000.0
2003,889.5421,41250000.0
2004,904.668,58750000.0
2005,909.8795,70500000.0
2006,920.28046,72750000.0
2007,1082.6213,131500000.0
2008,906.28375,64750000.0
2009,940.8376,82000000.0
2010,955.1226,87000000.0
2011,973.18494,93500000.0
2012,1112.7822,142250000.0
2013,914.7463,72000000.0
2014,1038.3419,117250000.0
2015,843.97656,47250000.0
2016,1088.7007,132500000.0
2017,911.8485,64250000.0
2018,932.099,77250000.0
2019,937.2114,80750000.0
2020,903.8425,65000000.0
2021,923.55493,76500000.0
2022,926.70703,77750000.0
2023,953.10425,85000000.0
2024,1067.169,63500000.0
2025,973.95935,86250000.0
