year,percentile_90,extent
2001,628.9325,168000000.0
2002,741.89935,208250000.0
2003,599.3594,111500000.0
2004,758.753,198500000.0
2005,769.8454,275250000.0
2006,791.2481,298000000.0
2007,779.7637,306750000.0
2008,772.5661,347250000.0
2009,756.9377,209500000.0
2010,787.7226,339500000.0
2011,754.8845,299500000.0
2012,909.15765,384750000.0
2013,757.264,173000000.0
2014,771.3558,197500000.0
2015,686.35046,147250000.0
2016,753.7903,181500000.0
2017,747.7335,189750000.0
2018,753.58563,193500000.0
2019,687.5823,157000000.0
2020,752.13904,157250000.0
2021,772.399,251000000.0
2022,749.81665,238000000.0
2023,791.1593,262000000.0
2024,675.1943,168000000.0
2025,774.3948,251500000.0
