year,percentile_90,extent
2001,1006.1217,174750000.0
2002,1082.7587,183250000.0
2003,1153.5776,166750000.0
2004,1115.3744,203250000.0
2005,1098.498,241250000.0
2006,1142.4508,246000000.0
2007,1198.7151,261500000.0
2008,1190.3195,284250000.0
2009,1133.5295,213000000.0
2010,1168.5918,271250000.0
2011,1123.9086,239750000.0
2012,1277.8611,366250000.0
2013,1083.6528,190500000.0
2014,1128.4375,228250000.0
2015,1090.3693,188500000.0
2016,1093.5789,201500000.0
2017,1128.0212,220750000.0
2018,1085.5874,201000000.0
2019,1078.1882,201000000.0
2020,1090.2095,201500000.0
2021,1165.7662,253500000.0
2022,1057.7449,172250000.0
2023,1264.8629,316000000.0
2024,1082.4991,205250000.0
2025,1219.4491,242000000.0
