year,percentile_90,extent
2001,1317.674,664250000.0
2002,1119.2258,369000000.0
2003,1360.8959,755750000.0
2004,1338.7454,640250000.0
2005,1091.5491,315250000.0
2006,1265.137,554000000.0
2007,1403.3906,872250000.0
2008,1380.7676,828500000.0
2009,1188.8523,431500000.0
2010,1454.666,959000000.0
2011,1386.2672,847750000.0
2012,1563.1106,1068000000.0
2013,1269.1366,563750000.0
2014,1378.885,770000000.0
2015,1060.1781,280000000.0
2016,1403.6078,871750000.0
2017,1215.1991,512250000.0
2018,1359.0095,660750000.0
2019,1412.791,889000000.0
2020,1397.2678,837250000.0
2021,1372.9923,806500000.0
2022,1394.4467,766750000.0
2023,1648.0448,1271250000.0
2024,1232.9844,516500000.0
2025,1470.7991,981750000.0
