year,percentile_90,extent
2001,1358.8435,608000000.0
2002,1076.1178,264500000.0
2003,1401.8618,670500000.0
2004,1359.625,591500000.0
2005,1058.0409,202250000.0
2006,1363.2795,585500000.0
2007,1434.4564,712500000.0
2008,1418.7382,697750000.0
2009,1171.8344,357000000.0
2010,1450.3406,731250000.0
2011,1412.5281,688750000.0
2012,1460.5422,744750000.0
2013,1330.1704,532750000.0
2014,1411.2594,686500000.0
2015,1026.8488,208500000.0
2016,1432.4426,710750000.0
2017,1315.55,503250000.0
2018,1387.3505,637750000.0
2019,1439.2986,715250000.0
2020,1415.7289,694000000.0
2021,1401.4768,670500000.0
2022,1386.7212,649500000.0
2023,1570.5596,829750000.0
2024,1267.0583,428000000.0
2025,1437.4677,714500000.0
