year,percentile_90,extent
2001,1158.0302,60250000.0
2002,698.3251,37250000.0
2003,830.7652,50750000.0
2004,682.41284,34750000.0
2005,840.84906,59750000.0
2006,805.3057,49750000.0
2007,845.0981,59750000.0
2008,838.2356,56250000.0
2009,846.9517,57500000.0
2010,853.3841,63750000.0
2011,858.26276,64000000.0
2012,1152.9413,82750000.0
2013,1172.2031,47500000.0
2014,834.2557,57750000.0
2015,844.479,60500000.0
2016,870.5958,59000000.0
2017,826.9509,46250000.0
2018,760.33014,42000000.0
2019,869.6083,65250000.0
2020,859.655,56000000.0
2021,781.00146,46000000.0
2022,840.10254,62250000.0
2023,849.2132,60250000.0
2024,836.594,57750000.0
2025,768.50275,44000000.0
