year,percentile_90,extent
2001,835.5031,297500000.0
2002,908.87445,393250000.0
2003,896.29285,366750000.0
2004,872.62634,337000000.0
2005,940.5701,377750000.0
2006,842.9361,190500000.0
2007,852.8869,310000000.0
2008,934.4228,410250000.0
2009,875.36414,328500000.0
2010,923.2244,355000000.0
2011,903.452,359500000.0
2012,970.4513,455500000.0
2013,833.44855,318000000.0
2014,889.9228,355250000.0
2015,893.9454,288000000.0
2016,939.5866,409500000.0
2017,869.68317,343500000.0
2018,835.6847,162250000.0
2019,960.5603,419250000.0
2020,942.43054,362500000.0
2021,900.19666,350250000.0
2022,845.01074,297250000.0
2023,966.01385,474500000.0
2024,833.6919,285250000.0
2025,837.6853,277500000.0
