year,percentile_90,extent
2001,2231.1216,816250000.0
2002,2196.8542,821250000.0
2003,2206.04,674750000.0
2004,2192.6995,760000000.0
2005,2124.2432,1087750000.0
2006,2181.5122,853000000.0
2007,2151.5742,1068250000.0
2008,2197.284,819750000.0
2009,2197.9224,833750000.0
2010,2158.3508,1128750000.0
2011,2151.7202,1027750000.0
2012,2166.2253,1150750000.0
2013,2176.3574,917750000.0
2014,2156.6868,1049000000.0
2015,2229.9705,862250000.0
2016,2166.7544,1088000000.0
2017,2230.5327,741000000.0
2018,2212.906,809750000.0
2019,2190.7505,1105500000.0
2020,2124.6296,975750000.0
2021,2152.1423,1049500000.0
2022,2198.9375,729250000.0
2023,2195.316,874250000.0
2024,2193.4253,1148500000.0
2025,2138.487,918000000.0
