year,percentile_90,extent
2001,927.10364,161000000.0
2002,820.77527,116500000.0
2003,920.2844,160750000.0
2004,834.26654,125250000.0
2005,932.5323,170500000.0
2006,924.82025,160750000.0
2007,949.854,173750000.0
2008,979.6033,192250000.0
2009,993.8724,197000000.0
2010,1005.0726,201750000.0
2011,1037.2847,228750000.0
2012,1054.458,238750000.0
2013,671.55927,87250000.0
2014,936.0875,159000000.0
2015,1026.7825,221500000.0
2016,946.74115,170500000.0
2017,771.0956,116250000.0
2018,712.591,97750000.0
2019,1004.21747,197500000.0
2020,984.22723,191750000.0
2021,884.1766,136750000.0
2022,940.9814,163250000.0
2023,1024.714,216250000.0
2024,889.1943,120750000.0
2025,921.07214,144750000.0
