year,percentile_90,extent
2001,1034.9507,31250000.0
2002,888.9331,25750000.0
2003,1013.59656,25000000.0
2004,969.0176,27750000.0
2005,969.7895,30000000.0
2006,912.0623,28750000.0
2007,1003.9331,35750000.0
2008,971.3334,29500000.0
2009,973.64923,31250000.0
2010,993.9122,32500000.0
2011,1003.9331,33250000.0
2012,1045.8987,45000000.0
2013,944.78186,29500000.0
2014,1125.9518,48750000.0
2015,913.562,26250000.0
2016,1050.8425,43000000.0
2017,927.1076,27250000.0
2018,1008.20703,28750000.0
2019,977.14923,30000000.0
2020,920.73486,26500000.0
2021,942.37354,28750000.0
2022,920.9009,27750000.0
2023,980.4471,30500000.0
2024,890.2655,25500000.0
2025,980.2067,25000000.0
