year,percentile_90,extent
2001,1562.1445,431750000.0
2002,1572.3091,461250000.0
2003,1572.1315,497000000.0
2004,1598.9331,550000000.0
2005,1570.265,500750000.0
2006,1572.3275,521000000.0
2007,1605.4845,502500000.0
2008,1621.9856,253500000.0
2009,1628.0006,234250000.0
2010,1640.5986,489750000.0
2011,1585.1008,483500000.0
2012,1629.1437,558750000.0
2013,1571.6099,545250000.0
2014,1646.5851,265500000.0
2015,1740.3035,258000000.0
2016,1638.3923,369000000.0
2017,1625.8958,278000000.0
2018,1650.6862,248000000.0
2019,1631.2312,562000000.0
2020,1561.2207,374750000.0
2021,1617.8741,563500000.0
2022,1613.1748,260750000.0
2023,1595.1592,445500000.0
2024,1996.7058,558250000.0
2025,1692.8577,502000000.0
