year,percentile_90,extent
2001,787.85376,151000000.0
2002,745.90576,148000000.0
2003,819.5591,176750000.0
2004,708.7358,139250000.0
2005,800.8822,171750000.0
2006,658.38586,112750000.0
2007,650.7612,111000000.0
2008,1222.2256,267750000.0
2009,754.9336,149250000.0
2010,769.9349,156250000.0
2011,784.78595,164500000.0
2012,963.63116,255750000.0
2013,619.36993,104250000.0
2014,790.88434,164750000.0
2015,911.9167,223250000.0
2016,965.7288,215750000.0
2017,775.77734,154750000.0
2018,815.7476,171750000.0
2019,864.1244,208000000.0
2020,862.46124,206750000.0
2021,756.2549,151000000.0
2022,817.5125,170750000.0
2023,974.0446,252000000.0
2024,810.5467,154000000.0
2025,623.5832,94250000.0
