year,percentile_90,extent
2001,905.7774,434500000.0
2002,864.98413,392250000.0
2003,858.6899,352000000.0
2004,904.0456,435500000.0
2005,941.3506,474250000.0
2006,922.2809,460750000.0
2007,1051.1903,561750000.0
2008,916.66895,441500000.0
2009,959.16064,482000000.0
2010,987.4439,507250000.0
2011,1048.3118,549500000.0
2012,1114.9215,626250000.0
2013,953.46344,467250000.0
2014,1053.01,564000000.0
2015,863.2259,353750000.0
2016,1022.76746,538750000.0
2017,908.45276,429000000.0
2018,956.63837,462000000.0
2019,969.2577,485500000.0
2020,905.81616,435750000.0
2021,979.7373,501000000.0
2022,951.0702,472000000.0
2023,1013.26526,525500000.0
2024,920.6031,452750000.0
2025,960.39905,480500000.0
