year,percentile_90,extent
2001,991.6795,102000000.0
2002,998.33386,75000000.0
2003,995.77374,93250000.0
2004,977.711,81500000.0
2005,1021.09155,83000000.0
2006,985.05133,95250000.0
2007,1011.30035,117000000.0
2008,950.5116,134500000.0
2009,939.6857,142750000.0
2010,1003.91113,119000000.0
2011,977.5833,129000000.0
2012,965.95856,138750000.0
2013,984.9474,76000000.0
2014,970.89166,92500000.0
2015,961.49115,138750000.0
2016,1007.0563,101500000.0
2017,985.2192,82500000.0
2018,984.8088,69500000.0
2019,1028.2942,128250000.0
2020,1011.97974,103250000.0
2021,984.7741,94750000.0
2022,995.3111,101000000.0
2023,985.38696,92250000.0
2024,998.9315,89500000.0
2025,1040.9192,74500000.0
