year,percentile_90,extent
2001,1855.0239,71250000.0
2002,1886.7804,81750000.0
2003,1828.2257,65750000.0
2004,1832.7156,72750000.0
2005,1850.6014,79250000.0
2006,1861.4984,74500000.0
2007,1895.8754,96250000.0
2008,1850.8477,70500000.0
2009,1806.0406,64250000.0
2010,1897.1362,87500000.0
2011,1900.8778,83500000.0
2012,1895.3976,107000000.0
2013,1855.8044,82500000.0
2014,1838.4839,76500000.0
2015,1851.285,77500000.0
2016,1907.2778,93500000.0
2017,1816.2754,55000000.0
2018,1834.7684,62250000.0
2019,1886.9916,95250000.0
2020,1813.0438,60750000.0
2021,1834.7126,75250000.0
2022,1834.7684,57250000.0
2023,1819.8392,69250000.0
2024,1880.725,68250000.0
2025,1902.7488,82750000.0
