year,percentile_90,extent
2001,844.70654,453500000.0
2002,920.7583,493500000.0
2003,906.23035,486750000.0
2004,916.0866,489250000.0
2005,1060.6721,554750000.0
2006,1023.6009,546500000.0
2007,1079.3826,594250000.0
2008,1039.1145,562000000.0
2009,1058.2346,572500000.0
2010,1079.7067,601000000.0
2011,1085.0808,600750000.0
2012,1216.7708,660000000.0
2013,841.3277,429750000.0
2014,1071.7888,592500000.0
2015,1104.8181,618500000.0
2016,1039.1748,556000000.0
2017,843.72845,459250000.0
2018,858.1772,463000000.0
2019,1072.3462,589750000.0
2020,909.00354,479000000.0
2021,961.1806,508250000.0
2022,865.8449,444750000.0
2023,1060.1348,556750000.0
2024,882.3391,460000000.0
2025,832.0082,377500000.0
