year,percentile_90,extent
2001,1760.6173,172750000.0
2002,1745.627,173250000.0
2003,1760.0634,169750000.0
2004,1724.1416,170250000.0
2005,1754.2052,180750000.0
2006,1725.1132,175000000.0
2007,1750.7189,182000000.0
2008,1738.1267,169500000.0
2009,1726.2677,171000000.0
2010,1752.8105,178750000.0
2011,1732.9484,178000000.0
2012,1760.6552,182000000.0
2013,1736.6271,174750000.0
2014,1739.6265,179250000.0
2015,1789.643,170250000.0
2016,1760.4788,178250000.0
2017,1760.1326,169500000.0
2018,1760.6299,170000000.0
2019,1765.275,184250000.0
2020,1749.7567,175000000.0
2021,1760.0634,177250000.0
2022,1724.6091,171250000.0
2023,1770.5396,176250000.0
2024,1760.1326,174500000.0
2025,1753.508,176000000.0
