year,percentile_90,extent
2001,1114.3525,605250000.0
2002,1110.7477,602750000.0
2003,1154.4657,658250000.0
2004,1162.3108,665250000.0
2005,1149.3751,654250000.0
2006,1138.1212,625750000.0
2007,1208.5239,707500000.0
2008,1173.044,671750000.0
2009,1146.207,650250000.0
2010,1196.9663,698250000.0
2011,1214.5693,712750000.0
2012,1222.8291,720750000.0
2013,1184.3759,683750000.0
2014,1191.2367,693250000.0
2015,1180.8812,677750000.0
2016,1200.201,700750000.0
2017,1119.5345,611750000.0
2018,1114.8163,606500000.0
2019,1197.7699,699000000.0
2020,1104.2034,598000000.0
2021,1143.4733,647250000.0
2022,1102.6719,590500000.0
2023,1175.711,674000000.0
2024,1104.5443,595750000.0
2025,1188.2927,688750000.0
