year,percentile_90,extent
2001,1877.669,1465250000.0
2002,1864.6101,1702500000.0
2003,1849.5325,1421750000.0
2004,1858.0966,1702250000.0
2005,1850.8649,1759750000.0
2006,1855.1462,1668500000.0
2007,1890.1057,2021000000.0
2008,1852.7764,1580500000.0
2009,1830.5289,1334000000.0
2010,1866.5479,1827500000.0
2011,1862.3088,1797750000.0
2012,1884.0625,2112750000.0
2013,1849.2439,1792500000.0
2014,1840.5883,1538250000.0
2015,1860.1436,1576750000.0
2016,1884.9281,1819250000.0
2017,1866.6608,1178750000.0
2018,1877.5048,1198250000.0
2019,1888.0376,1954000000.0
2020,1830.8519,1404000000.0
2021,1854.7819,1665500000.0
2022,1841.968,1199250000.0
2023,1845.6454,1451500000.0
2024,1812.1876,1385750000.0
2025,1866.4182,1679000000.0
