year,percentile_90,extent
2001,1791.2289,1943750000.0
2002,1770.2466,2230750000.0
2003,1755.6086,1642500000.0
2004,1757.0574,2193250000.0
2005,1749.1486,2271750000.0
2006,1758.8416,2159750000.0
2007,1791.4038,2522750000.0
2008,1782.0938,2041250000.0
2009,1758.7739,1905750000.0
2010,1817.0469,2556500000.0
2011,1770.2328,2244250000.0
2012,1818.2509,2467750000.0
2013,1783.1224,2351000000.0
2014,1785.261,2099250000.0
2015,1812.7136,1878750000.0
2016,1792.4656,2192500000.0
2017,1777.2479,1566250000.0
2018,1785.672,1692250000.0
2019,1798.872,2414250000.0
2020,1735.8923,2083250000.0
2021,1797.9009,2478500000.0
2022,1735.9624,1605750000.0
2023,1772.6643,1898250000.0
2024,1855.5181,2700000000.0
2025,1760.4956,2259750000.0
