year,percentile_90,extent
2001,1144.5227,91000000.0
2002,1075.3618,48500000.0
2003,969.715,78000000.0
2004,635.72955,40500000.0
2005,938.23596,76000000.0
2006,802.10016,63500000.0
2007,839.1208,71250000.0
2008,841.5561,71000000.0
2009,1076.3457,125500000.0
2010,858.5035,71750000.0
2011,919.04596,87250000.0
2012,1148.6328,111000000.0
2013,1201.1652,85750000.0
2014,1203.531,67250000.0
2015,907.8751,83250000.0
2016,807.7488,60750000.0
2017,1096.0365,60750000.0
2018,1042.7917,72250000.0
2019,1163.8774,83000000.0
2020,858.5206,74000000.0
2021,797.3416,55250000.0
2022,868.81226,80500000.0
2023,927.9617,83000000.0
2024,851.8567,71750000.0
2025,865.2886,61250000.0
