year,percentile_90,extent
2001,466.1327,120000000.0
2002,354.52292,80750000.0
2003,502.81348,139000000.0
2004,443.75504,114250000.0
2005,392.5501,77000000.0
2006,455.00232,121750000.0
2007,532.82825,154500000.0
2008,586.8846,183000000.0
2009,599.2168,194250000.0
2010,519.38055,153750000.0
2011,566.47253,179750000.0
2012,618.5353,208500000.0
2013,422.73627,91000000.0
2014,500.8483,132500000.0
2015,630.0406,202000000.0
2016,484.68027,128750000.0
2017,492.81137,135000000.0
2018,343.08972,76000000.0
2019,609.0139,199750000.0
2020,481.1793,123500000.0
2021,481.49258,123500000.0
2022,488.51154,130000000.0
2023,503.3272,142500000.0
2024,445.70447,102500000.0
2025,347.72437,78750000.0
