year,percentile_90,extent
2001,848.83356,112000000.0
2002,531.83264,68500000.0
2003,577.7718,115250000.0
2004,572.3606,92500000.0
2005,572.2712,70250000.0
2006,570.56085,107750000.0
2007,634.5925,128750000.0
2008,688.04333,153500000.0
2009,678.6274,148000000.0
2010,684.57513,133000000.0
2011,669.1086,139500000.0
2012,713.90753,165750000.0
2013,542.892,88250000.0
2014,794.31616,133250000.0
2015,732.3047,175000000.0
2016,611.98126,115000000.0
2017,561.4567,108000000.0
2018,450.7738,57750000.0
2019,714.65967,172500000.0
2020,602.6695,106000000.0
2021,564.64984,109000000.0
2022,620.7587,124750000.0
2023,611.98126,117500000.0
2024,633.88025,106250000.0
2025,726.46173,71500000.0
