year,percentile_90,extent
2001,1093.1412,3016250000.0
2002,1003.33527,2376250000.0
2003,1007.7034,2479500000.0
2004,1011.7375,1941250000.0
2005,1032.8336,2698750000.0
2006,906.1934,1414500000.0
2007,970.0815,2098500000.0
2008,1062.7255,3090250000.0
2009,994.48566,2482000000.0
2010,1002.7708,2609500000.0
2011,1026.1606,2868500000.0
2012,1129.4932,3764000000.0
2013,917.1851,802500000.0
2014,1109.8914,3281500000.0
2015,1193.2167,3827250000.0
2016,1011.13794,2519500000.0
2017,939.9558,1576000000.0
2018,943.7857,1405750000.0
2019,1123.9817,3590000000.0
2020,1021.0883,2640500000.0
2021,1045.8793,2238000000.0
2022,1032.9436,2815000000.0
2023,1085.237,3374750000.0
2024,997.1095,2154000000.0
2025,969.03326,1641500000.0
