year,percentile_90,extent
2001,1670.8607,2169000000.0
2002,1669.0563,2462500000.0
2003,1612.7546,2128500000.0
2004,1652.1881,2530750000.0
2005,1654.7559,2574000000.0
2006,1662.4751,2529000000.0
2007,1684.4641,2793500000.0
2008,1617.0518,2269000000.0
2009,1565.6447,1761250000.0
2010,1679.1793,2607000000.0
2011,1666.9208,2490250000.0
2012,1733.2682,3003500000.0
2013,1652.8685,2615500000.0
2014,1608.4542,2169500000.0
2015,1635.4604,2097250000.0
2016,1706.1757,2496250000.0
2017,1657.2245,1807250000.0
2018,1639.8737,1772750000.0
2019,1713.3253,2655250000.0
2020,1557.161,1990500000.0
2021,1659.8665,2367750000.0
2022,1583.4161,1702500000.0
2023,1618.8462,2100250000.0
2024,1575.7487,2040250000.0
2025,1644.3433,2423750000.0
