year,percentile_90,extent
2001,1142.1108,430750000.0
2002,1078.1598,326750000.0
2003,1173.6393,478500000.0
2004,1094.3522,346750000.0
2005,945.81934,198750000.0
2006,1063.2229,296250000.0
2007,1164.6737,447000000.0
2008,1215.9368,560500000.0
2009,1107.7028,377500000.0
2010,1281.7417,662500000.0
2011,1231.0006,589250000.0
2012,1322.3517,721250000.0
2013,1112.5347,407500000.0
2014,1190.6833,515250000.0
2015,935.1148,186750000.0
2016,1217.2123,553000000.0
2017,1168.7482,456000000.0
2018,1125.9507,416750000.0
2019,1217.1418,544250000.0
2020,1172.3508,471750000.0
2021,1149.6216,431500000.0
2022,1107.526,399000000.0
2023,1304.7408,692250000.0
2024,1219.3591,556500000.0
2025,1245.2349,606000000.0
