year,percentile_90,extent
2001,1193.0425,440500000.0
2002,1184.2942,429500000.0
2003,1228.9174,470750000.0
2004,1260.7495,502250000.0
2005,1241.9934,484750000.0
2006,1231.5754,469250000.0
2007,1350.9194,601000000.0
2008,1263.076,505500000.0
2009,1237.2672,480500000.0
2010,1335.2919,579500000.0
2011,1377.1079,616750000.0
2012,1415.0503,654500000.0
2013,1312.5673,546500000.0
2014,1324.1442,552250000.0
2015,1291.9733,527500000.0
2016,1345.1724,596500000.0
2017,1201.8468,450500000.0
2018,1209.4945,457750000.0
2019,1339.9789,590000000.0
2020,1176.2212,421250000.0
2021,1240.1754,483000000.0
2022,1183.6304,428000000.0
2023,1320.0144,548500000.0
2024,1195.0022,442500000.0
2025,1319.0304,549500000.0
