year,percentile_90,extent
2001,813.27325,50500000.0
2002,737.4092,34500000.0
2003,818.12805,50500000.0
2004,786.2509,46000000.0
2005,812.9452,51000000.0
2006,798.32684,46000000.0
2007,823.6111,50500000.0
2008,895.3732,63500000.0
2009,883.7588,60000000.0
2010,844.8337,54250000.0
2011,940.2145,71500000.0
2012,960.89294,76250000.0
2013,631.33514,23000000.0
2014,799.35693,43750000.0
2015,955.25525,75500000.0
2016,836.65753,52250000.0
2017,798.83264,44000000.0
2018,658.0277,24250000.0
2019,852.36194,56750000.0
2020,898.06274,61750000.0
2021,808.0206,47000000.0
2022,836.73413,51500000.0
2023,903.4023,64250000.0
2024,815.0971,47000000.0
2025,798.9463,43250000.0
