year,percentile_90,extent
2001,1712.9957,1013000000.0
2002,1723.2373,825000000.0
2003,1727.7247,828500000.0
2004,1710.0535,934000000.0
2005,1708.3143,926750000.0
2006,1698.9828,937250000.0
2007,1735.416,1264250000.0
2008,1710.2976,1026000000.0
2009,1701.1954,1035250000.0
2010,1727.3932,1245000000.0
2011,1719.7413,1245750000.0
2012,1789.3657,1633000000.0
2013,1751.8435,1410500000.0
2014,1787.2759,1631750000.0
2015,1781.0265,905250000.0
2016,1771.6464,1583250000.0
2017,1750.655,1037250000.0
2018,1711.1849,1059750000.0
2019,1754.538,1461750000.0
2020,1723.1793,887750000.0
2021,1737.7401,1316250000.0
2022,1653.7451,1187000000.0
2023,1686.2755,1247750000.0
2024,1682.2933,1017250000.0
2025,1690.3933,1234500000.0
