year,percentile_90,extent
2001,1175.4868,167500000.0
2002,1215.6527,194250000.0
2003,1245.6854,188750000.0
2004,1217.7192,205500000.0
2005,1189.3644,209500000.0
2006,1190.6781,248500000.0
2007,1217.7739,252500000.0
2008,1191.6764,265750000.0
2009,1224.2043,202500000.0
2010,1219.3751,259500000.0
2011,1203.8763,226500000.0
2012,1224.8618,305000000.0
2013,1217.8723,180500000.0
2014,1232.7552,183750000.0
2015,1217.8846,167750000.0
2016,1216.9185,181000000.0
2017,1217.0585,188250000.0
2018,1180.6879,172750000.0
2019,1207.3672,183750000.0
2020,1203.2256,181750000.0
2021,1216.6383,214000000.0
2022,1217.8723,170500000.0
2023,1226.0072,221250000.0
2024,1220.4325,188500000.0
2025,1218.0833,235500000.0
