year,percentile_90,extent
2001,1858.1975,595000000.0
2002,1794.3491,611500000.0
2003,1798.0642,464250000.0
2004,1753.499,566250000.0
2005,1723.2247,797250000.0
2006,1745.2388,639000000.0
2007,1760.2958,776000000.0
2008,1762.6155,553500000.0
2009,1743.9886,566500000.0
2010,1798.5636,762500000.0
2011,1801.3518,736500000.0
2012,1952.539,797000000.0
2013,1753.8798,582000000.0
2014,1751.781,784000000.0
2015,1906.9075,485750000.0
2016,1867.4943,769750000.0
2017,1805.8152,490750000.0
2018,1777.995,585500000.0
2019,1811.4946,809500000.0
2020,1674.4768,662500000.0
2021,1712.6732,717000000.0
2022,1758.4036,564000000.0
2023,1793.3744,622500000.0
2024,1753.7286,660250000.0
2025,1782.826,723500000.0
