year,percentile_90,extent
2001,1370.4026,2936500000.0
2002,1194.8733,1654750000.0
2003,1428.1364,3204000000.0
2004,1360.3569,2823750000.0
2005,1284.121,1636750000.0
2006,1393.5444,2945250000.0
2007,1525.6619,3597500000.0
2008,1444.6549,3315500000.0
2009,1274.1509,1973250000.0
2010,1553.4359,3830750000.0
2011,1526.0348,3663250000.0
2012,1648.0388,4373250000.0
2013,1337.5353,2542250000.0
2014,1432.671,3200000000.0
2015,1178.274,1453750000.0
2016,1543.1387,3691250000.0
2017,1315.6351,2323500000.0
2018,1401.0444,2877750000.0
2019,1527.2365,3625750000.0
2020,1517.9242,3535750000.0
2021,1473.915,3413500000.0
2022,1419.4211,3160250000.0
2023,1752.6335,4708750000.0
2024,1276.8705,2031250000.0
2025,1499.9778,3534500000.0
