year,percentile_90,extent
2001,1890.1816,171250000.0
2002,1881.4633,187750000.0
2003,1869.132,163000000.0
2004,1861.2723,193750000.0
2005,1882.7365,197500000.0
2006,1876.5178,183250000.0
2007,1895.0018,219500000.0
2008,1885.7605,181750000.0
2009,1843.563,167250000.0
2010,1884.7803,197250000.0
2011,1885.7401,194500000.0
2012,1901.5016,237500000.0
2013,1871.9299,199500000.0
2014,1858.2906,182250000.0
2015,1878.1996,180000000.0
2016,1887.8275,200250000.0
2017,1833.1313,136000000.0
2018,1860.081,149000000.0
2019,1885.6993,210000000.0
2020,1838.789,162000000.0
2021,1867.193,186000000.0
2022,1844.4993,152000000.0
2023,1854.0664,186500000.0
2024,1851.2861,163000000.0
2025,1871.4967,198750000.0
