year,percentile_90,extent
2001,898.2722,37000000.0
2002,771.01917,14750000.0
2003,884.87695,37750000.0
2004,864.0251,31250000.0
2005,904.42786,40750000.0
2006,914.57776,42500000.0
2007,896.93475,40750000.0
2008,912.89435,43750000.0
2009,922.59644,45000000.0
2010,948.23975,51250000.0
2011,963.6569,57500000.0
2012,963.6655,57750000.0
2013,798.6836,16500000.0
2014,918.25995,40750000.0
2015,936.6851,48250000.0
2016,942.4231,49000000.0
2017,827.6132,27250000.0
2018,812.75574,19250000.0
2019,955.13043,52250000.0
2020,956.63416,53750000.0
2021,922.6078,44250000.0
2022,905.444,41250000.0
2023,945.4878,50500000.0
2024,892.1995,35000000.0
2025,947.50903,41500000.0
