year,percentile_90,extent
2001,675.9969,249750000.0
2002,573.02637,161500000.0
2003,605.5671,265500000.0
2004,575.1133,215250000.0
2005,641.35986,152000000.0
2006,597.5764,222250000.0
2007,631.02466,284500000.0
2008,647.11725,324750000.0
2009,659.4967,336250000.0
2010,651.1646,294750000.0
2011,651.0573,308750000.0
2012,669.7148,342250000.0
2013,602.49146,165250000.0
2014,652.8116,255500000.0
2015,670.3287,343750000.0
2016,616.2185,206750000.0
2017,581.7776,190500000.0
2018,570.36456,134250000.0
2019,656.5057,328250000.0
2020,637.9381,212500000.0
2021,614.9431,222000000.0
2022,646.6551,262250000.0
2023,596.1134,209250000.0
2024,659.9271,183500000.0
2025,655.0596,166000000.0
