year,percentile_90,extent
2001,1526.134,151500000.0
2002,1535.5282,162000000.0
2003,1535.3383,160000000.0
2004,1538.8972,173250000.0
2005,1528.0117,165500000.0
2006,1535.1354,171750000.0
2007,1535.1714,163750000.0
2008,1536.0032,120750000.0
2009,1528.5809,112750000.0
2010,1539.2351,173000000.0
2011,1529.7897,164000000.0
2012,1539.6931,168000000.0
2013,1541.0948,172750000.0
2014,1533.6613,117500000.0
2015,1536.1931,115250000.0
2016,1532.269,155250000.0
2017,1532.142,128000000.0
2018,1536.531,117500000.0
2019,1535.4332,174750000.0
2020,1531.5067,134250000.0
2021,1538.5592,173500000.0
2022,1535.2433,122750000.0
2023,1533.4796,160500000.0
2024,1566.8103,148000000.0
2025,1552.6068,157750000.0
