year,percentile_90,extent
2001,2006.546,926250000.0
2002,2001.2489,950500000.0
2003,1984.3472,898500000.0
2004,2001.3218,1004000000.0
2005,1981.9052,909000000.0
2006,1999.8206,971250000.0
2007,2002.3298,1011750000.0
2008,1968.0938,824500000.0
2009,1983.8179,778750000.0
2010,2010.0615,1027500000.0
2011,1985.5919,904750000.0
2012,2034.1642,1083000000.0
2013,1986.5619,975500000.0
2014,1989.9792,831750000.0
2015,1983.5919,820000000.0
2016,1993.3375,910750000.0
2017,1987.4901,842500000.0
2018,1986.0049,831500000.0
2019,2018.2184,1098500000.0
2020,1972.0472,819250000.0
2021,2003.5322,1002250000.0
2022,1952.0042,755750000.0
2023,1997.9312,910250000.0
2024,2039.8646,914250000.0
2025,2042.8026,967500000.0
