year,percentile_90,extent
2001,2090.2095,1098500000.0
2002,2086.8298,1318250000.0
2003,2081.803,1403000000.0
2004,2074.5732,1446500000.0
2005,2070.6003,1532750000.0
2006,2078.9158,1385500000.0
2007,2085.5024,1680000000.0
2008,2064.5168,1296250000.0
2009,2066.2776,1094000000.0
2010,2074.8235,1394250000.0
2011,2068.5183,1473750000.0
2012,2074.993,1751750000.0
2013,2052.9316,1549000000.0
2014,2072.6138,1181750000.0
2015,2079.8943,1168750000.0
2016,2088.8936,1590250000.0
2017,2105.3416,963000000.0
2018,2106.8904,793000000.0
2019,2087.5386,1414250000.0
2020,2063.254,966500000.0
2021,2066.142,1251000000.0
2022,2070.6091,1051250000.0
2023,2031.472,1287250000.0
2024,2014.3353,1067000000.0
2025,2065.116,1290500000.0
