year,percentile_90,extent
2001,1556.2314,323000000.0
2002,1562.0511,313500000.0
2003,1546.7386,311250000.0
2004,1552.9343,309750000.0
2005,1560.6036,314000000.0
2006,1556.6449,311500000.0
2007,1541.4298,329250000.0
2008,1566.1106,310250000.0
2009,1564.6006,309750000.0
2010,1556.2314,320500000.0
2011,1556.2314,315500000.0
2012,1554.9052,335750000.0
2013,1548.6132,324500000.0
2014,1545.7242,343250000.0
2015,1566.4579,313500000.0
2016,1541.7739,336500000.0
2017,1561.3274,311250000.0
2018,1560.6036,314000000.0
2019,1546.6626,329000000.0
2020,1566.5571,303000000.0
2021,1564.2233,320250000.0
2022,1557.7078,310000000.0
2023,1546.6626,324000000.0
2024,1565.9219,318000000.0
2025,1544.9144,329250000.0
