year,percentile_90,extent
2001,969.41235,115750000.0
2002,1002.39557,139500000.0
2003,948.6864,105250000.0
2004,1023.671,141750000.0
2005,1073.7384,162000000.0
2006,1077.8708,168500000.0
2007,1076.7323,166750000.0
2008,1096.0797,170250000.0
2009,1061.5706,143500000.0
2010,1149.8776,187250000.0
2011,1060.4017,158250000.0
2012,1278.0161,234750000.0
2013,1005.7883,124500000.0
2014,1037.7577,144000000.0
2015,1016.176,129000000.0
2016,1075.4213,139500000.0
2017,1023.47437,139000000.0
2018,1023.5397,133000000.0
2019,1024.1971,134750000.0
2020,1018.50433,135000000.0
2021,1065.3466,155000000.0
2022,1018.19244,135000000.0
2023,1148.2601,182250000.0
2024,1001.8251,136000000.0
2025,1088.6904,151000000.0
