year,percentile_90,extent
2001,753.3919,59750000.0
2002,752.29,77750000.0
2003,766.8816,49250000.0
2004,829.29816,88250000.0
2005,802.1035,116500000.0
2006,837.1176,134500000.0
2007,846.5503,114500000.0
2008,881.32635,143500000.0
2009,801.5608,90500000.0
2010,897.6441,140500000.0
2011,829.62915,133000000.0
2012,1022.4986,192750000.0
2013,729.88043,70500000.0
2014,815.42346,79250000.0
2015,759.74817,75500000.0
2016,771.558,67000000.0
2017,807.38635,91500000.0
2018,775.626,88750000.0
2019,779.99286,64500000.0
2020,772.15076,79000000.0
2021,790.53,100000000.0
2022,764.0331,83000000.0
2023,1057.4707,152000000.0
2024,725.8814,84000000.0
2025,793.733,109000000.0
