year,percentile_90,extent
2001,935.5869,41000000.0
2002,935.5869,53500000.0
2003,1081.9122,50500000.0
2004,1015.4505,66250000.0
2005,904.94495,79750000.0
2006,950.8303,93000000.0
2007,1015.1922,72000000.0
2008,1006.8074,105500000.0
2009,1015.1497,73000000.0
2010,1015.43945,109000000.0
2011,925.11487,91750000.0
2012,1015.4505,113750000.0
2013,951.28876,50250000.0
2014,997.7309,62250000.0
2015,931.51263,59500000.0
2016,958.8157,53750000.0
2017,957.15155,73500000.0
2018,958.9731,58500000.0
2019,954.63556,50750000.0
2020,941.252,64000000.0
2021,957.3915,75750000.0
2022,936.3422,58000000.0
2023,1029.238,98500000.0
2024,991.9046,61000000.0
2025,956.91174,93750000.0
