year,percentile_90,extent
2001,1047.8657,26250000.0
2002,1020.01996,32000000.0
2003,1139.7538,38500000.0
2004,1049.3612,38500000.0
2005,940.49243,53500000.0
2006,957.3972,54750000.0
2007,1033.8777,49500000.0
2008,1025.7307,55750000.0
2009,1021.1621,44250000.0
2010,1011.5173,90750000.0
2011,959.5679,56500000.0
2012,1029.5005,61750000.0
2013,1024.5886,31000000.0
2014,1007.8067,47750000.0
2015,1035.3107,31500000.0
2016,1022.3043,31500000.0
2017,1015.349,46000000.0
2018,1033.8778,32000000.0
2019,1030.6145,31000000.0
2020,1008.2705,37500000.0
2021,1110.9764,35000000.0
2022,977.9929,37250000.0
2023,1111.6206,52500000.0
2024,1135.8882,34500000.0
2025,1109.133,48000000.0
