year,percentile_90,extent
2001,916.21655,522750000.0
2002,975.7806,672750000.0
2003,936.90466,616000000.0
2004,891.8082,514000000.0
2005,941.24176,627250000.0
2006,866.91406,379250000.0
2007,908.81775,502500000.0
2008,960.77606,679000000.0
2009,920.2624,575750000.0
2010,944.2247,658250000.0
2011,934.5238,643000000.0
2012,1048.3347,850500000.0
2013,869.1914,449750000.0
2014,950.65894,662750000.0
2015,972.19,698750000.0
2016,1004.6463,779250000.0
2017,979.35614,718250000.0
2018,822.82605,301750000.0
2019,1009.27875,826250000.0
2020,1020.8745,878500000.0
2021,939.551,632250000.0
2022,951.02313,655750000.0
2023,1053.2856,1091750000.0
2024,1004.5344,836250000.0
2025,849.7473,352750000.0
