year,percentile_90,extent
2001,843.56067,395500000.0
2002,774.3419,209000000.0
2003,807.7009,324000000.0
2004,754.9596,213250000.0
2005,783.55225,267000000.0
2006,826.33453,341000000.0
2007,871.4351,441250000.0
2008,895.08417,551000000.0
2009,900.5759,595500000.0
2010,1030.1609,506500000.0
2011,929.5649,724000000.0
2012,940.8698,730250000.0
2013,739.0857,164000000.0
2014,867.4445,453500000.0
2015,924.9211,676750000.0
2016,894.44904,491250000.0
2017,736.2754,311000000.0
2018,811.7695,266750000.0
2019,943.0924,577500000.0
2020,874.2761,386500000.0
2021,829.5913,310000000.0
2022,866.98785,451000000.0
2023,913.8103,552500000.0
2024,858.8984,296250000.0
2025,856.8642,285250000.0
