year,percentile_90,extent
2001,850.7508,107000000.0
2002,1041.8906,119500000.0
2003,802.33093,118250000.0
2004,799.60925,109000000.0
2005,796.1082,115000000.0
2006,739.6221,64000000.0
2007,697.2232,51500000.0
2008,960.80457,151500000.0
2009,781.17426,110500000.0
2010,776.38116,109250000.0
2011,798.9105,118250000.0
2012,949.8248,160000000.0
2013,687.95306,49000000.0
2014,828.9513,123000000.0
2015,908.4954,154750000.0
2016,902.1692,138500000.0
2017,811.6548,118250000.0
2018,831.19275,117250000.0
2019,961.7731,169000000.0
2020,881.16595,136750000.0
2021,889.1163,136250000.0
2022,878.167,130500000.0
2023,974.34753,177500000.0
2024,804.3319,108000000.0
2025,832.3437,63750000.0
