year,percentile_90,extent
2001,803.446,14500000.0
2002,768.0515,12000000.0
2003,809.44946,15250000.0
2004,749.34216,11500000.0
2005,809.1682,15500000.0
2006,887.5886,17500000.0
2007,842.1908,17250000.0
2008,864.45154,19250000.0
2009,886.1024,20250000.0
2010,890.7439,20000000.0
2011,960.4051,27750000.0
2012,967.5117,29250000.0
2013,753.1676,10250000.0
2014,803.5848,14500000.0
2015,910.7397,23250000.0
2016,924.384,20500000.0
2017,770.71765,10750000.0
2018,745.3874,10500000.0
2019,990.18506,24750000.0
2020,836.8599,17500000.0
2021,815.4572,15500000.0
2022,821.76306,16500000.0
2023,864.1992,19500000.0
2024,808.04333,14000000.0
2025,1243.1384,14750000.0
