year,percentile_90,extent
2001,804.04175,8750000.0
2002,797.2865,6750000.0
2003,850.5108,9750000.0
2004,772.70386,6500000.0
2005,850.5108,9750000.0
2006,880.4639,12000000.0
2007,874.2015,13000000.0
2008,911.72205,15750000.0
2009,931.82245,16750000.0
2010,937.5267,17000000.0
2011,939.32074,17500000.0
2012,939.32074,17500000.0
2013,744.4602,5000000.0
2014,864.96313,10000000.0
2015,927.1039,16500000.0
2016,879.2711,13000000.0
2017,792.8012,7000000.0
2018,682.24664,4000000.0
2019,934.704,15750000.0
2020,906.63477,14750000.0
2021,872.48175,12000000.0
2022,882.4559,11750000.0
2023,931.82245,16750000.0
2024,813.0005,8750000.0
2025,806.9864,5000000.0
