year,percentile_90,extent
2001,725.7849,417500000.0
2002,787.6271,474750000.0
2003,812.17957,511250000.0
2004,789.3319,476500000.0
2005,819.8254,501250000.0
2006,835.7504,527500000.0
2007,896.0871,593750000.0
2008,871.7854,574500000.0
2009,895.0741,592750000.0
2010,960.18243,636750000.0
2011,985.5207,657750000.0
2012,1131.358,826750000.0
2013,675.39166,366750000.0
2014,875.6959,574250000.0
2015,1092.4628,759500000.0
2016,881.801,570000000.0
2017,744.09265,431500000.0
2018,659.2779,375500000.0
2019,956.369,641250000.0
2020,752.60406,442750000.0
2021,823.51935,502000000.0
2022,735.98926,422250000.0
2023,936.18506,547750000.0
2024,758.2841,418000000.0
2025,692.2394,351000000.0
