year,percentile_90,extent
2001,718.3646,595250000.0
2002,769.2591,655000000.0
2003,797.42017,727250000.0
2004,778.7917,679500000.0
2005,828.8771,704000000.0
2006,817.98,730500000.0
2007,905.9931,902500000.0
2008,896.1248,912000000.0
2009,888.60657,889750000.0
2010,964.6205,1053500000.0
2011,993.62463,1093500000.0
2012,1100.587,1525750000.0
2013,725.1219,512750000.0
2014,908.6753,869000000.0
2015,1045.4906,1288250000.0
2016,899.1465,807000000.0
2017,711.0216,591750000.0
2018,664.38947,552250000.0
2019,933.523,982500000.0
2020,775.90515,662750000.0
2021,802.45056,739750000.0
2022,766.8561,605500000.0
2023,954.3346,766250000.0
2024,804.24316,612750000.0
2025,668.49,484750000.0
