year,percentile_90,extent
2001,1055.4324,393000000.0
2002,1037.7593,410500000.0
2003,996.4477,396000000.0
2004,1044.9907,300000000.0
2005,1083.8531,503750000.0
2006,985.3219,364500000.0
2007,1029.1174,407500000.0
2008,1052.8302,483000000.0
2009,1041.5284,437750000.0
2010,974.4992,337000000.0
2011,1085.9956,519000000.0
2012,1070.465,516750000.0
2013,765.5853,188750000.0
2014,1057.7275,488250000.0
2015,1185.8662,646500000.0
2016,1039.0485,424500000.0
2017,758.4351,244500000.0
2018,813.0825,235750000.0
2019,1068.9457,527500000.0
2020,1046.6602,462250000.0
2021,1128.6384,373750000.0
2022,1050.5641,383500000.0
2023,1121.2932,564000000.0
2024,866.8572,277500000.0
2025,1024.5256,349000000.0
