year,percentile_90,extent
2001,1560.0975,585000000.0
2002,1575.4352,560750000.0
2003,1568.3098,535750000.0
2004,1570.8375,604250000.0
2005,1581.4717,654250000.0
2006,1563.3732,623750000.0
2007,1598.2428,643500000.0
2008,1585.7292,672500000.0
2009,1567.0237,624750000.0
2010,1582.6589,665750000.0
2011,1570.4432,593500000.0
2012,1664.9436,774250000.0
2013,1575.1464,569000000.0
2014,1582.1782,653000000.0
2015,1600.4739,596250000.0
2016,1582.4,655000000.0
2017,1573.9642,619000000.0
2018,1543.1027,588000000.0
2019,1580.7024,610500000.0
2020,1590.349,625500000.0
2021,1571.2311,645000000.0
2022,1583.2765,596500000.0
2023,1671.5394,778500000.0
2024,1560.9307,580500000.0
2025,1569.3624,618750000.0
