year,percentile_90,extent
2001,925.30365,85250000.0
2002,893.92053,74250000.0
2003,849.22736,48500000.0
2004,924.2968,85500000.0
2005,961.79846,97250000.0
2006,940.7257,87000000.0
2007,1112.5186,171500000.0
2008,956.9744,94750000.0
2009,1017.38904,108500000.0
2010,1035.3809,124750000.0
2011,1080.0732,149500000.0
2012,1148.6167,203500000.0
2013,945.06396,91750000.0
2014,1072.7933,145500000.0
2015,908.0851,75000000.0
2016,1069.5063,148000000.0
2017,924.7777,87000000.0
2018,957.3801,91750000.0
2019,999.4513,107750000.0
2020,924.46643,84750000.0
2021,1019.80194,110500000.0
2022,986.5744,98250000.0
2023,1030.9396,120500000.0
2024,948.3578,87750000.0
2025,964.4301,88500000.0
