year,percentile_90,extent
2001,1103.605,583500000.0
2002,973.0956,487750000.0
2003,929.3316,434500000.0
2004,1059.1453,604750000.0
2005,1074.2449,658250000.0
2006,1065.1691,648250000.0
2007,1250.8602,1044500000.0
2008,1150.5059,739000000.0
2009,1195.8832,847500000.0
2010,1256.5739,975000000.0
2011,1266.2296,1121000000.0
2012,1318.4166,1301750000.0
2013,1281.0082,948250000.0
2014,1321.7898,1105000000.0
2015,1082.8629,567750000.0
2016,1315.1366,1225500000.0
2017,1122.1359,705750000.0
2018,1186.7899,846250000.0
2019,1284.9711,1062750000.0
2020,1079.0629,663000000.0
2021,1254.3408,961500000.0
2022,1251.1584,967250000.0
2023,1271.0883,1079250000.0
2024,1125.8901,703250000.0
2025,1228.2399,872000000.0
