year,percentile_90,extent
2001,459.90067,492250000.0
2002,449.93375,262500000.0
2003,439.30396,422750000.0
2004,412.01495,344250000.0
2005,540.7802,236000000.0
2006,456.45605,451750000.0
2007,488.0012,520500000.0
2008,491.69324,536000000.0
2009,502.94928,545500000.0
2010,477.70325,534750000.0
2011,496.78998,544250000.0
2012,516.1508,554750000.0
2013,506.62878,219000000.0
2014,461.09607,480500000.0
2015,497.99405,543750000.0
2016,452.94116,500250000.0
2017,451.8795,451500000.0
2018,463.7566,219000000.0
2019,490.97668,527500000.0
2020,454.1106,398250000.0
2021,439.277,436000000.0
2022,457.97302,487250000.0
2023,454.67996,437750000.0
2024,526.11786,243750000.0
2025,481.87027,256000000.0
