year,percentile_90,extent
2001,989.8593,326750000.0
2002,992.2988,334250000.0
2003,1059.4362,233500000.0
2004,1025.1635,379250000.0
2005,966.40015,404750000.0
2006,1002.63116,389500000.0
2007,1003.1724,334000000.0
2008,1008.40094,397500000.0
2009,1013.5405,248000000.0
2010,991.7424,357750000.0
2011,1007.7208,426000000.0
2012,1002.14166,486000000.0
2013,1039.8003,252750000.0
2014,1016.7151,297750000.0
2015,1006.2981,408750000.0
2016,1038.2114,268250000.0
2017,1008.2539,347250000.0
2018,1017.84674,257500000.0
2019,1043.5696,243250000.0
2020,1002.4409,343000000.0
2021,1005.88385,358000000.0
2022,1023.5923,424250000.0
2023,1017.53754,560750000.0
2024,1015.65454,363250000.0
2025,1018.0737,364000000.0
