year,percentile_90,extent
2001,1562.3038,271000000.0
2002,1633.6444,319750000.0
2003,1594.3783,307000000.0
2004,1637.0138,344750000.0
2005,1640.2557,339250000.0
2006,1634.7598,336750000.0
2007,1721.639,390000000.0
2008,1599.0306,319250000.0
2009,1554.4563,271500000.0
2010,1640.9888,354750000.0
2011,1654.1304,367000000.0
2012,1739.6919,418000000.0
2013,1654.0854,377750000.0
2014,1563.1512,260750000.0
2015,1602.0203,304750000.0
2016,1664.9331,348000000.0
2017,1321.539,191000000.0
2018,1337.4453,190500000.0
2019,1645.6553,331750000.0
2020,1521.7611,261500000.0
2021,1606.1147,308500000.0
2022,1441.339,254500000.0
2023,1546.5942,279750000.0
2024,1542.8164,277000000.0
2025,1628.8885,327500000.0
